Run,Map,Algorithm,Rep,Outcome,Duration_s,EagleHP,EagleHPMax,EagleHPLostPct,AgentCount,EnemiesAlive,TotalReplans,TotalRecoveries,TotalShots,TotalCells
1,Alpha32,AStar,1,EagleDestroyed,28.73,-1,500,0.0,6,6,162,1,4092,46
2,Alpha32,AStar,2,EagleDestroyed,28.07,-1,500,0.0,6,6,161,1,4091,47
3,Alpha32,AStar,3,EagleDestroyed,28.23,-1,500,0.0,6,6,174,1,3362,52
4,Alpha32,AStar,4,EagleDestroyed,27.70,-1,500,0.0,6,6,158,2,3979,47
5,Alpha32,AStar,5,EagleDestroyed,29.11,-1,500,0.0,6,6,159,2,4366,46
6,Alpha32,AStar,6,EagleDestroyed,27.70,-1,500,0.0,6,6,176,2,4648,50
7,Alpha32,PIBT,1,EagleDestroyed,27.50,-1,500,0.0,6,6,276,14,2045,40
8,Alpha32,PIBT,2,EagleDestroyed,28.77,-1,500,0.0,6,6,389,32,1908,34
9,Alpha32,PIBT,3,EagleDestroyed,29.62,-1,500,0.0,6,6,212,7,2100,35
10,Alpha32,PIBT,4,EagleDestroyed,28.15,-1,500,0.0,6,6,286,13,1654,38
11,Alpha32,PIBT,5,EagleDestroyed,28.44,-1,500,0.0,6,6,235,11,1998,34
12,Alpha32,PIBT,6,EagleDestroyed,27.04,-1,500,0.0,6,6,315,29,2369,31
13,Alpha32,PIBT_TCP,1,EagleDestroyed,29.46,-1,500,0.0,6,6,284,4,14702,80
14,Alpha32,PIBT_TCP,2,EagleDestroyed,32.75,-1,500,0.0,6,6,200,3,11779,77
15,Alpha32,PIBT_TCP,3,EagleDestroyed,29.77,-1,500,0.0,6,6,281,3,14788,98
16,Alpha32,PIBT_TCP,4,EagleDestroyed,31.01,-1,500,0.0,6,6,242,2,13359,76
17,Alpha32,PIBT_TCP,5,EagleDestroyed,29.56,-1,500,0.0,6,6,284,3,10429,61
18,Alpha32,PIBT_TCP,6,EagleDestroyed,30.67,-1,500,0.0,6,6,259,3,20153,78
19,Mansion,AStar,1,EagleDestroyed,95.93,-1,500,0.0,6,6,568,1,356,125
20,Mansion,AStar,2,EagleDestroyed,96.48,-1,500,0.0,6,6,527,2,459,141
21,Mansion,AStar,3,EagleDestroyed,96.91,-1,500,0.0,6,6,541,2,330,123
22,Mansion,AStar,4,EagleDestroyed,96.37,-1,500,0.0,6,6,558,2,453,134
23,Mansion,AStar,5,EagleDestroyed,97.92,-1,500,0.0,6,6,544,1,437,167
24,Mansion,AStar,6,EagleDestroyed,96.06,-1,500,0.0,6,6,545,1,367,135
25,Mansion,PIBT,1,EagleDestroyed,144.41,-1,500,0.0,6,6,587,7,130,141
26,Mansion,PIBT,2,EagleDestroyed,132.36,-1,500,0.0,6,6,751,13,116,171
27,Mansion,PIBT,3,EagleDestroyed,137.39,-1,500,0.0,6,6,801,6,83,148
28,Mansion,PIBT,4,EagleDestroyed,135.08,-1,500,0.0,6,6,670,12,128,115
29,Mansion,PIBT,5,EagleDestroyed,140.03,-1,500,0.0,6,6,604,8,104,127
30,Mansion,PIBT,6,EagleDestroyed,138.82,-1,500,0.0,6,6,802,9,110,124
31,Mansion,PIBT_TCP,1,EagleDestroyed,114.86,-1,500,0.0,6,6,489,4,1104,140
32,Mansion,PIBT_TCP,2,EagleDestroyed,121.88,-1,500,0.0,6,6,536,3,1366,120
33,Mansion,PIBT_TCP,3,EagleDestroyed,118.58,-1,500,0.0,6,6,588,1,1497,143
34,Mansion,PIBT_TCP,4,EagleDestroyed,114.10,-1,500,0.0,6,6,529,2,1268,135
35,Mansion,PIBT_TCP,5,EagleDestroyed,125.82,-1,500,0.0,6,6,580,4,1854,148
36,Mansion,PIBT_TCP,6,EagleDestroyed,122.01,-1,500,0.0,6,6,562,4,1309,141
37,Chantry,AStar,1,EagleDestroyed,96.74,-1,500,0.0,6,6,617,3,420,152
38,Chantry,AStar,2,EagleDestroyed,98.38,-1,500,0.0,6,6,578,2,452,187
39,Chantry,AStar,3,EagleDestroyed,97.75,-1,500,0.0,6,6,658,2,504,160
40,Chantry,AStar,4,EagleDestroyed,96.14,-1,500,0.0,6,6,597,1,682,186
41,Chantry,AStar,5,EagleDestroyed,98.18,-1,500,0.0,6,6,701,2,643,203
42,Chantry,AStar,6,EagleDestroyed,98.34,-1,500,0.0,6,6,680,1,747,175
43,Chantry,PIBT,1,EagleDestroyed,117.30,-1,500,0.0,6,6,539,6,71,153
44,Chantry,PIBT,2,EagleDestroyed,114.90,-1,500,0.0,6,6,559,7,88,173
45,Chantry,PIBT,3,EagleDestroyed,114.62,-1,500,0.0,6,6,609,12,60,214
46,Chantry,PIBT,4,EagleDestroyed,113.32,-1,500,0.0,6,6,618,14,88,168
47,Chantry,PIBT,5,EagleDestroyed,116.26,-1,500,0.0,6,6,692,11,101,172
48,Chantry,PIBT,6,EagleDestroyed,112.80,-1,500,0.0,6,6,534,13,96,183
49,Chantry,PIBT_TCP,1,EagleDestroyed,131.47,-1,500,0.0,6,6,937,28,2303,458
50,Chantry,PIBT_TCP,2,EagleDestroyed,127.20,-1,500,0.0,6,6,917,16,1535,398
51,Chantry,PIBT_TCP,3,EagleDestroyed,131.33,-1,500,0.0,6,6,974,12,1508,446
52,Chantry,PIBT_TCP,4,EagleDestroyed,133.00,-1,500,0.0,6,6,955,7,2268,404
53,Chantry,PIBT_TCP,5,EagleDestroyed,121.61,-1,500,0.0,6,6,950,14,1978,319
54,Chantry,PIBT_TCP,6,EagleDestroyed,132.63,-1,500,0.0,6,6,898,6,2046,364
55,Gallows,AStar,1,EagleDestroyed,126.38,-1,500,0.0,6,6,638,2,248,177
56,Gallows,AStar,2,EagleDestroyed,127.17,-1,500,0.0,6,6,695,1,425,137
